epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4290.42,0.43713,0.42555,0.92426,0.97515,0.94919,0.94389,0.89406,0.36157,0.39371,0.82518,0.000872691,0.000872691,0.000872691
67,4364.64,0.43207,0.43718,0.9245,0.97448,0.94879,0.94236,0.8987,0.36341,0.39897,0.81567,0.000869024,0.000869024,0.000869024
68,4424.04,0.42931,0.42498,0.9164,0.9727,0.94917,0.94248,0.9008,0.35432,0.38639,0.80896,0.000865358,0.000865358,0.000865358
69,4485.31,0.45146,0.43204,0.92047,0.97721,0.95424,0.95152,0.90271,0.35336,0.40348,0.79993,0.000861692,0.000861692,0.000861692
70,4551.5,0.45892,0.44034,0.93733,0.97279,0.96052,0.95278,0.89298,0.36196,0.40685,0.80482,0.000858025,0.000858025,0.000858025
71,4616.58,0.43844,0.41913,0.92186,0.97964,0.96258,0.95077,0.89068,0.37585,0.38234,0.80986,0.000854359,0.000854359,0.000854359
72,4683.32,0.42205,0.41804,0.92132,0.97728,0.96085,0.95467,0.9073,0.35624,0.38208,0.82072,0.000850693,0.000850693,0.000850693
73,4743.34,0.43058,0.42148,0.90625,0.97834,0.95607,0.95163,0.90173,0.3607,0.36235,0.81991,0.000847026,0.000847026,0.000847026
74,4810.17,0.43161,0.40868,0.91992,0.97753,0.95569,0.95028,0.90002,0.33983,0.35384,0.81342,0.00084336,0.00084336,0.00084336
75,4870.63,0.44398,0.40853,0.9203,0.97901,0.95143,0.94946,0.89972,0.34161,0.34346,0.80013,0.000839694,0.000839694,0.000839694
76,4942.07,0.45281,0.4365,0.93823,0.97844,0.95047,0.94941,0.89417,0.34334,0.34538,0.8058,0.000836027,0.000836027,0.000836027
77,5001.42,0.44311,0.41891,0.92528,0.97932,0.95549,0.9481,0.90447,0.34369,0.34331,0.80841,0.000832361,0.000832361,0.000832361
78,5073.62,0.43346,0.41335,0.92911,0.97708,0.95569,0.94896,0.90114,0.33678,0.35888,0.81242,0.000828695,0.000828695,0.000828695
79,5137.7,0.44648,0.42736,0.92881,0.97454,0.95569,0.9456,0.89362,0.35074,0.34733,0.81015,0.000825029,0.000825029,0.000825029
80,5206.47,0.42456,0.39374,0.91275,0.9773,0.95569,0.95234,0.90449,0.32543,0.37828,0.80063,0.000821362,0.000821362,0.000821362
81,5267.5,0.4459,0.41316,0.91517,0.97785,0.9563,0.95384,0.9031,0.34919,0.34186,0.81172,0.000817696,0.000817696,0.000817696
82,5329.55,0.44898,0.41827,0.93264,0.98064,0.95655,0.95507,0.90076,0.3515,0.34804,0.81871,0.00081403,0.00081403,0.00081403
83,5394.23,0.4449,0.41571,0.93033,0.98104,0.95569,0.9533,0.8984,0.35,0.34167,0.82032,0.000810363,0.000810363,0.000810363
84,5465.86,0.42516,0.38477,0.91627,0.98184,0.95569,0.95349,0.89263,0.35779,0.34735,0.8178,0.000806697,0.000806697,0.000806697
85,5528.58,0.42692,0.39745,0.91093,0.98087,0.95569,0.95635,0.89304,0.37655,0.33262,0.83766,0.000803031,0.000803031,0.000803031
86,5595.09,0.42183,0.38047,0.91191,0.97602,0.95569,0.95682,0.89902,0.35543,0.31652,0.80456,0.000799365,0.000799365,0.000799365
87,5655.96,0.42531,0.39493,0.90777,0.97115,0.95569,0.95296,0.89411,0.34006,0.32189,0.80107,0.000795698,0.000795698,0.000795698
88,5721.52,0.41708,0.38695,0.91873,0.98084,0.95494,0.95328,0.90974,0.31391,0.44242,0.79703,0.000792032,0.000792032,0.000792032
89,5781.06,0.40102,0.36504,0.90922,0.96543,0.95569,0.95199,0.90868,0.33089,0.31546,0.80625,0.000788366,0.000788366,0.000788366
90,5843.86,0.41853,0.37329,0.91835,0.96597,0.95569,0.95003,0.90016,0.34911,0.32498,0.80269,0.000784699,0.000784699,0.000784699
